RECID|RAKNONRAK|KodeToko|TIPERAK|NORAK|KET_RAK|NAMA_RAK|NOSHELF|KET_SHELF|KIRIKANAN|DEPANBLK|ATASBAWAH|DIVISI|PRDCD|PLUMD|KODESHELF|TKIRIKANAN|TATASBAWAH|TDEPANBLK|QTY|QTY_LENGTH|PKM|MINDISP|NPLUS|TGL_MULAI|TGL_AKHIR|KET|ADDID|ADDTIME|UPDID|UPDTIME|TGL_NP1|TGL_NP2,
|R|XXX|A|2337|MILK & BABY FOOD  6 RAK SINGGLE|MBF06U02337|2||7|1|1||10000019|10000019||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2337|MILK & BABY FOOD  6 RAK SINGGLE|MBF06U02337|2||8|1|1||10000020|10000020||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2337|MILK & BABY FOOD  6 RAK SINGGLE|MBF06U02337|2||6|1|1||10000021|10000021||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2681|SNACK & BISCUIT  10 RAK DOUBLE EXTENDER|SNB10DX02681|64||3|1|1||10000052|10000052||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|21||14|1|1||10000060|10000060||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|11|1|1||10000069|10000069||1|1|7|0|0.00|0|7|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|4|1|1||10000073|10000073||1|1|10|0|0.00|0|10|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|8|1|1||10000075|10000075||1|1|6|0|0.00|0|6|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|2|1|1||10000077|10000077||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2337|MILK & BABY FOOD  6 RAK SINGGLE|MBF06U02337|2||2|1|1||10000088|10000088||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|42933|COC BATTERY ( MEJA BARU )|RBATTN42933|1||4|1|1||10000090|10000090||2|1|9|0|0.00|0|18|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|5||17|1|1||10000097|10000097||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|4|1|3||10000098|10000098||1|1|5|0|0.00|0|5|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|32||5|1|1||10000101|10000101||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|31||7|1|1||10000102|10000102||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2681|SNACK & BISCUIT  10 RAK DOUBLE EXTENDER|SNB10DX02681|62||3|1|1||10000103|10000103||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2681|SNACK & BISCUIT  10 RAK DOUBLE EXTENDER|SNB10DX02681|62||4|1|1||10000104|10000104||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|35755|COOLER GABUNG BEVERAGES COLA 8 PINTU|CLB08C35755|4||5|1|1||10000107|10000107||1|1|5|0|0.00|0|5|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|21||10|1|1||10000116|10000116||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|21||15|1|1||10000117|10000117||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|34074|BABY KIDS CARE 2 RAK DOUBLE 150 CM|BKC2DX34074|13||14|1|1||10000120|10000120||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|13||8|1|1||10000126|10000126||1|1|5|0|0.00|0|5|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|83397|WING RAK JAM|WRJAM83397|1||3|1|1||10000128|10000128||1|1|7|0|0.00|0|7|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|83397|WING RAK JAM|WRJAM83397|1||2|1|1||10000129|10000129||1|1|5|0|0.00|0|5|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2681|SNACK & BISCUIT  10 RAK DOUBLE EXTENDER|SNB10DX02681|33||4|1|1||10000132|10000132||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2681|SNACK & BISCUIT  10 RAK DOUBLE EXTENDER|SNB10DX02681|42||3|1|1||10000133|10000133||1|1|1|0|0.00|0|1|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2467|NEW BASIC FOOD 6 RAK DOUBLE DENGAN 2 ACRYLIC EXTENDER|BFD06DX02467|33||4|1|1||10000135|10000135||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2337|MILK & BABY FOOD  6 RAK SINGGLE|MBF06U02337|10||5|1|1||10000143|10000143||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|4||3|1|1||10000144|10000144||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|2337|MILK & BABY FOOD  6 RAK SINGGLE|MBF06U02337|10||6|1|1||10000146|10000146||1|1|3|0|0.00|0|3|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|3||17|1|1||10000149|10000149||1|1|2|0|0.00|0|2|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|6|1|1||10000154|10000154||1|1|10|0|0.00|0|10|0||||||04/06/2025 06:55:18||||,
|R|XXX|A|82610|MEDICINE 1 RAK SINGLE|MED01S82610|6|ACRILIC OBAT|5|1|1||10000155|10000155||1|1|9|0|0.00|0|9|0||||||04/06/2025 06:55:18||||,
